0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
2139.99         3.18E-18        3.15E-18
2140.48         3.11E-18        3.07E-18
2140.98         3.34E-18        3.31E-18
2141.47         3.64E-18        3.60E-18
2141.97         3.72E-18        3.68E-18
2142.46         3.55E-18        3.50E-18
2142.96         3.24E-18        3.20E-18
2143.46         2.87E-18        2.83E-18
2143.95         2.58E-18        2.55E-18
2144.45         2.16E-18        2.13E-18
2144.94         1.86E-18        1.83E-18
2145.44         1.60E-18        1.58E-18
2145.93         1.42E-18        1.40E-18
2146.43         1.35E-18        1.33E-18
2146.92         1.37E-18        1.34E-18
2147.42         1.33E-18        1.31E-18
2147.92         1.27E-18        1.25E-18
2148.41         1.12E-18        1.10E-18
2148.91         9.86E-19        9.67E-19
2149.40         8.98E-19        8.79E-19
2149.90         8.46E-19        8.28E-19
2150.39         1.03E-18        1.01E-18
2150.89         1.99E-18        1.95E-18
2151.39         3.62E-18        3.53E-18
2151.88         5.67E-18        5.53E-18
2152.38         7.04E-18        6.86E-18
2152.87         7.15E-18        6.96E-18
2153.37         6.46E-18        6.28E-18
2153.86         5.45E-18        5.29E-18
2154.36         4.74E-18        4.60E-18
2154.85         4.12E-18        4.00E-18
2155.35         3.69E-18        3.57E-18
2155.85         3.30E-18        3.19E-18
2156.34         2.93E-18        2.83E-18
2156.84         2.75E-18        2.65E-18
2157.33         2.68E-18        2.58E-18
2157.83         2.78E-18        2.67E-18
2158.32         2.68E-18        2.57E-18
2158.82         2.49E-18        2.38E-18
