0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
2142.46         1.45E-23        1.45E-23
2142.96         1.45E-23        1.45E-23
2143.46         1.45E-23        1.45E-23
2143.95         1.45E-23        1.45E-23
2144.45         1.44E-23        1.44E-23
2144.94         1.44E-23        1.44E-23
2145.44         1.44E-23        1.44E-23
2145.93         1.44E-23        1.44E-23
2146.43         1.43E-23        1.43E-23
2146.92         1.43E-23        1.43E-23
2147.42         1.43E-23        1.43E-23
2147.92         1.43E-23        1.43E-23
2148.41         1.43E-23        1.43E-23
2148.91         1.42E-23        1.42E-23
2149.40         1.42E-23        1.42E-23
2149.90         1.42E-23        1.42E-23
2150.39         1.42E-23        1.42E-23
2150.89         1.41E-23        1.41E-23
2151.39         1.41E-23        1.41E-23
2151.88         1.41E-23        1.41E-23
2152.38         1.40E-23        1.40E-23
2152.87         1.40E-23        1.40E-23
2153.37         1.40E-23        1.40E-23
2153.86         1.39E-23        1.39E-23
2154.36         1.39E-23        1.39E-23
2154.85         1.38E-23        1.38E-23
2155.35         1.38E-23        1.38E-23
2155.85         1.38E-23        1.38E-23
2156.34         1.37E-23        1.37E-23
2156.84         1.37E-23        1.37E-23
2157.33         1.37E-23        1.37E-23
2157.83         1.36E-23        1.36E-23
2158.32         1.36E-23        1.36E-23
2158.82         1.35E-23        1.35E-23
2159.32         1.35E-23        1.35E-23
