0 Branching ratio for CS2       Total        1 branches    
Lambda          Total           CS/S
2104.80         4.58E-18        4.58E-18
2105.29         4.16E-18        4.16E-18
2105.79         4.03E-18        4.03E-18
2106.29         3.93E-18        3.93E-18
2106.78         3.52E-18        3.52E-18
2107.28         3.17E-18        3.17E-18
2107.77         3.28E-18        3.28E-18
2108.27         5.71E-18        5.71E-18
2108.76         5.65E-18        5.65E-18
2109.26         4.65E-18        4.65E-18
2109.75         3.95E-18        3.95E-18
2110.25         3.92E-18        3.92E-18
2110.75         3.67E-18        3.67E-18
2111.24         3.59E-18        3.59E-18
2111.74         3.46E-18        3.46E-18
2112.23         3.44E-18        3.44E-18
2112.73         3.87E-18        3.87E-18
2113.22         4.89E-18        4.89E-18
2113.72         5.01E-18        5.01E-18
2114.21         5.25E-18        5.25E-18
2114.71         5.73E-18        5.73E-18
2115.21         7.36E-18        7.36E-18
2115.70         7.50E-18        7.50E-18
2116.20         7.76E-18        7.76E-18
2116.69         7.63E-18        7.63E-18
2117.19         6.22E-18        6.22E-18
2117.68         5.56E-18        5.56E-18
2118.18         4.82E-18        4.82E-18
2118.68         8.65E-18        8.65E-18
2119.17         1.29E-17        1.29E-17
2119.67         9.67E-18        9.67E-18
2120.16         8.18E-18        8.18E-18
2120.66         6.35E-18        6.35E-18
2121.15         4.65E-18        4.65E-18
2121.65         3.49E-18        3.49E-18
2122.14         3.18E-18        3.18E-18
2122.64         2.68E-18        2.68E-18
2123.14         2.68E-18        2.68E-18
2123.63         2.59E-18        2.59E-18
2124.13         2.34E-18        2.34E-18
2124.62         2.30E-18        2.30E-18
2125.12         2.41E-18        2.41E-18
2125.61         2.07E-18        2.07E-18
2126.11         1.64E-18        1.64E-18
2126.61         1.58E-18        1.58E-18
2127.10         2.06E-18        2.06E-18
2127.60         1.98E-18        1.98E-18
2128.09         2.09E-18        2.09E-18
2128.59         1.65E-18        1.65E-18
2129.08         1.75E-18        1.75E-18
2129.58         1.81E-18        1.81E-18
2130.07         1.59E-18        1.59E-18
2130.57         1.81E-18        1.81E-18
2131.07         1.76E-18        1.76E-18
2131.56         2.01E-18        2.01E-18
2132.06         1.97E-18        1.97E-18
2132.55         1.67E-18        1.67E-18
2133.05         1.62E-18        1.62E-18
2133.54         1.88E-18        1.88E-18
2134.04         1.85E-18        1.85E-18
2134.53         2.14E-18        2.14E-18
2135.03         3.92E-18        3.92E-18
2135.53         3.09E-18        3.09E-18
2136.02         2.47E-18        2.47E-18
2136.52         2.55E-18        2.55E-18
2137.01         2.53E-18        2.53E-18
2137.51         3.57E-18        3.57E-18
2138.00         4.93E-18        4.93E-18
2138.50         3.48E-18        3.48E-18
2139.00         2.69E-18        2.69E-18
2139.49         2.44E-18        2.44E-18
2139.99         2.23E-18        2.23E-18
2140.48         1.68E-18        1.68E-18
2140.98         1.24E-18        1.24E-18
2141.47         1.12E-18        1.12E-18
2141.97         1.14E-18        1.14E-18
2142.46         1.50E-18        1.50E-18
2142.96         1.23E-18        1.23E-18
2143.46         1.08E-18        1.08E-18
2143.95         9.15E-19        9.15E-19
2144.45         8.99E-19        8.99E-19
2144.94         8.11E-19        8.11E-19
2145.44         7.82E-19        7.82E-19
2145.93         8.46E-19        8.46E-19
2146.43         9.14E-19        9.14E-19
2146.92         7.75E-19        7.75E-19
2147.42         6.89E-19        6.89E-19
2147.92         7.14E-19        7.14E-19
2148.41         8.84E-19        8.84E-19
2148.91         7.47E-19        7.47E-19
2149.40         5.90E-19        5.90E-19
2149.90         5.26E-19        5.26E-19
2150.39         7.34E-19        7.34E-19
2150.89         8.80E-19        8.80E-19
2151.39         8.05E-19        8.05E-19
2151.88         7.13E-19        7.13E-19
2152.38         6.34E-19        6.34E-19
2152.87         5.85E-19        5.85E-19
2153.37         6.21E-19        6.21E-19
2153.86         1.03E-18        1.03E-18
2154.36         9.77E-19        9.77E-19
2154.85         8.08E-19        8.08E-19
2155.35         7.64E-19        7.64E-19
2155.85         1.53E-18        1.53E-18
2156.34         1.43E-18        1.43E-18
2156.84         1.40E-18        1.40E-18
2157.33         1.26E-18        1.26E-18
2157.83         1.16E-18        1.16E-18
2158.32         8.71E-19        8.71E-19
2158.82         7.35E-19        7.35E-19
